,u1,u2,u3,u4
0,0.010367135573366668,0.16825635247539855,-2.8775124814116816e-16,3.7409599763082335e-18
1,-0.09731391312441938,-5.2860520199212955e-05,0.00512977169747185,0.0006183214747197082
2,-0.03567078847863021,-5.289237250126588e-05,2.4931366244499047e-06,-2.718758499680654e-07
3,0.4712403610295458,-5.315430418008614e-05,2.4296661612936305e-06,-2.602574352090451e-07
4,0.34152178568796776,-5.308727585727578e-05,2.4459082543403466e-06,-2.632305878250719e-07
5,0.015885279406940567,-5.291901260858794e-05,2.486681277175706e-06,-2.706941837517573e-07
6,0.4822045531602201,-5.315996960930956e-05,2.4282933322422824e-06,-2.6000613568289545e-07
7,0.18673175767424796,-5.3007292586064564e-05,2.465289549819345e-06,-2.6677837869094087e-07
8,0.6231309693464874,-5.323278925998248e-05,2.4106479028307443e-06,-2.5677609910674615e-07
9,0.024291160040457543,-5.292335610434343e-05,2.485628774902737e-06,-2.7050152078170913e-07
10,-0.11819460791550558,-5.2849730703817896e-05,2.5034694511122637e-06,-2.7376729773489387e-07
11,-0.13863673502136284,-5.2839167825772634e-05,2.506029014610659e-06,-2.742358317403055e-07
12,-0.128038015961711,-5.284464440733724e-05,2.504701946527523e-06,-2.7399290886503017e-07
13,-0.13198512512875374,-5.284260485283559e-05,2.5051961649859767e-06,-2.740833766944592e-07
14,-0.07068310868258093,-5.287428090100757e-05,-0.013038746099987559,0.00024309810941908102
15,-0.11987578404220897,-5.2848862004662744e-05,2.5036799515667735e-06,-2.7380583032890385e-07
16,-0.05209271180324019,-5.28838869472444e-05,2.4951928172961853e-06,-2.7225224081390024e-07
17,-0.1468964264264708,-5.283489986905625e-05,2.5070632124962064e-06,-2.744251440500178e-07
18,-0.13271607127079868,-5.284222715754488e-05,2.505287686922694e-06,-2.7410012999620047e-07
19,-0.14604365592741833,-5.2835340513530246e-05,2.506956436903391e-06,-2.7440559853132603e-07
20,-0.1303283138734518,-5.284346096208855e-05,2.5049887152627606e-06,-2.7404540254384957e-07
21,-0.1637325525649063,-5.282620028768788e-05,2.5091712677733857e-06,-2.748110284335034e-07
22,-0.09263585781533368,-5.286293744888378e-05,2.500269234056179e-06,-2.731814906172643e-07
23,-0.14080520857609616,-5.28380473297207e-05,2.5063005296898365e-06,-2.742855332021512e-07
24,-0.1241883662802742,-5.2846633602488816e-05,2.504219930993835e-06,-2.739046748091881e-07
25,-0.11853571611512656,-5.2849554446020056e-05,2.5035121613493607e-06,-2.737751159423742e-07
26,-0.11765858074467261,-5.285000768035502e-05,2.503402335025213e-06,-2.7375501198027657e-07
27,-0.09324497960037112,-5.286262270280371e-05,2.500345502336891e-06,-2.7319545170204965e-07
28,-0.14565381798499438,-5.2835541951064326e-05,2.5069076252035913e-06,-2.7439666343705205e-07
29,-0.1304501382304593,-5.2843398012891385e-05,2.505003968918967e-06,-2.7404819476079494e-07
30,-0.06259397137728603,-5.287846072500884e-05,2.4965076824546287e-06,-2.7249292991561515e-07
31,-0.11836516201531606,-5.284964257491183e-05,2.503490806230777e-06,-2.737712068386385e-07
32,-0.12867150261814994,-5.284431707142312e-05,2.5047812655392634e-06,-2.740074283932182e-07
33,-0.1408295734474977,-5.28380347398736e-05,2.5063035804210604e-06,-2.742860916455537e-07
34,-0.11877936482914156,-5.2849428547612675e-05,2.5035426686615887e-06,-2.7378070037628264e-07
35,-0.0026807526010012715,-5.2909419148391584e-05,2.4890059343698984e-06,-2.7111971761604234e-07
36,-0.1547175501463518,-5.283085852951513e-05,2.508042497219929e-06,-2.7460440437867516e-07
37,-0.040641222244535896,-5.2889804173337263e-05,2.4937589736200496e-06,-2.719897724199203e-07
38,-0.13902657296378682,-5.283896638826631e-05,2.5060778263103498e-06,-2.742447668345744e-07
39,-0.10381933378862147,-5.285715871105969e-05,2.5016695196889056e-06,-2.734378161339379e-07
40,-0.10786390244127021,-5.2855068797140654e-05,2.502175941072477e-06,-2.7353051773692423e-07
41,-0.09266022268673516,-5.2862924859035855e-05,2.5002722847873708e-06,-2.7318204906065935e-07
42,-0.10096864383464614,-5.285863172265221e-05,2.501312584135496e-06,-2.733724782571412e-07
43,-0.09010191118957783,-5.286424679251251e-05,2.4999519580087293e-06,-2.7312341250455713e-07
44,-0.11829206740111159,-5.284968034446866e-05,2.503481654037062e-06,-2.737695315084476e-07
45,-0.1502100489370746,-5.283318765041488e-05,2.5074781119430924e-06,-2.7450109235125e-07
