,0
0,c1
1,c2
2,c1
3,c2
4,c2
5,c2
6,c2
7,c2
8,c2
9,c2
10,c1
11,c1
12,c1
13,c1
14,c2
15,c2
16,c2
17,c2
18,c1
19,c1
20,c2
21,c2
22,c2
23,c2
24,c1
25,c2
26,c2
27,c2
28,c1
29,c2
30,c2
31,c2
32,c1
33,c1
34,c2
35,c2
36,c2
37,c1
38,c2
39,c2
40,c1
41,c2
42,c2
43,c2
44,c2
45,c1
46,c2
47,c1
48,c2
49,c2
50,c2
51,c1
52,c1
53,c2
54,c1
55,c2
56,c2
57,c1
58,c1
59,c2
60,c2
61,c2
62,c1
63,c2
64,c2
65,c1
66,c2
67,c2
68,c1
69,c1
70,c2
71,c2
72,c1
73,c1
74,c2
75,c2
76,c1
77,c1
78,c1
79,c1
80,c2
81,c1
82,c2
83,c1
84,c2
85,c1
86,c2
87,c1
88,c1
89,c1
90,c2
91,c2
92,c2
93,c1
94,c2
95,c2
96,c1
97,c2
98,c2
99,c1
100,c1
101,c1
102,c1
103,c1
104,c2
105,c1
106,c1
107,c2
108,c1
109,c2
110,c2
111,c2
112,c1
113,c1
114,c1
115,c1
116,c1
117,c1
118,c2
119,c2
120,c2
121,c1
122,c2
123,c1
124,c2
125,c2
126,c1
127,c1
128,c2
129,c1
130,c2
131,c2
132,c2
133,c2
134,c2
135,c1
136,c2
137,c2
138,c2
139,c2
140,c2
141,c2
142,c1
143,c2
144,c1
145,c1
146,c2
147,c2
148,c2
149,c1
150,c2
151,c2
152,c1
153,c1
154,c2
155,c2
156,c2
157,c1
158,c1
159,c2
160,c2
161,c2
162,c1
163,c1
164,c2
165,c2
166,c1
167,c1
168,c1
169,c2
170,c1
171,c1
172,c2
173,c1
174,c2
175,c2
176,c1
177,c2
178,c2
179,c2
180,c1
181,c1
182,c2
183,c2
184,c1
185,c2
186,c1
