Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica,Populatie
32768,Budesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961
49153,Sahateni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3397
57350,Cojocna,259.143948436381,0.0,0.0,0.0,0.0,0.0,0.0,143.19837670088327,0.0,4189
90119,Lunca Cernii De Jos,0.0,0.0,4.126268320180383,0.0,0.0,0.0,0.0,0.0,0.0,887
73736,Poiana Mare,283.1263700234192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10675
147465,Bunesti,31.63416395810762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2769
155662,Bara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323
139287,Valea Vinului,0.0,0.0,8243.382308845577,0.0,0.0,0.0,0.0,0.0,0.0,2001
114710,Oras Ludus,11712.631943655571,215.9009428603885,22.56605702601386,8528.073497671248,156.2916051346132,0.0,0.0,253.72446893104623,0.005225491309780756,17606
122908,Grumazesti,1736.6045918367347,0.0,35.11570699708455,0.0,318.77970116618076,0.0,0.0,0.0,0.0,5488
131103,Oras Breaza,167.2199093403316,5633.8975903614455,31.449958248836932,0.0,0.0,716.5110938804723,0.0,5.742574257425742,0.0,16766
40991,Fundata,0.0,0.0,4.522292993630574,0.0,0.0,0.0,0.0,0.0,0.0,785
98337,Plugari,6.770079185520362,4.619343891402715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3536
8229,Vadu Motilor,0.0,0.0,1049.581818181818,0.0,0.0,0.0,0.0,0.0,0.0,1375
16427,Dobresti,116.97644419517667,0.0,491.86763881099273,0.0,0.0,0.0,0.0,0.0,0.0,1783
32811,Caianu Mic,0.0,83.09545875810936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4316
73772,Predesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085
172082,Pausesti-Maglasi,1033.0465985546973,0.49364565163219537,2390.704958883628,0.0,0.0,0.0,0.0,25.350859705955646,0.0,4013
49206,Sapoca,18.432613768961495,6.10997666277713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3428
24631,Poduri,0.23714881609618452,0.0,34.491964176174704,0.0,0.0,0.0,0.0,0.0,0.0,8151
163903,Gagesti,2.2347956131605184,0.0,121.27517447657029,0.0,0.0,0.0,0.0,0.0,0.0,2006
106559,Municipiul Sighetu Marmatiei,308.8507645259939,312.3009400838147,2095.6213840752066,0.0,0.0,199.74366292898404,0.0,7431.322052327557,156.51908483406953,44145
139330,Vama,63.99389499389499,779.0537240537241,0.0,0.0,111.92722832722832,0.0,0.0,16.42148962148962,0.0,4095
81987,Schela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1733
98373,Oras Podu Iloaiei,771.0062528318985,0.0,7.191572270049841,0.0,0.0,0.0,0.0,0.0,0.0,11035
147526,Cacica,4421.325898953118,0.0,2435.771506599909,0.0,0.0,0.0,0.0,0.0,0.0,4394
16454,Domnesti,49.89607097591888,0.0,460.32699619771864,0.0,0.0,0.0,0.0,0.0,0.0,3156
65609,Oras Fieni,284.76359121798225,65.88525875588081,27.01006272869838,0.0,0.0,282.27208572922115,0.0,7.567564035546263,0.0,7652
122953,Hangu,0.0,0.0,7229.15657461363,0.0,0.0,0.0,0.0,0.0,0.0,3947
41033,Halchiu,387.22888056595923,42.95547232625884,1341.7723678734915,5.456096545984186,0.0,10.440491052850604,0.0,344.69225967540575,0.0,4806
155724,Beba Veche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.28248587570621,1593
49233,Sarulesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363
16472,Dragoslavele,5305.38698630137,0.0,186.0654490106545,0.0,0.0,0.0,0.0,0.0,0.0,2628
139358,Vetis,122219.67625899281,3008.3737317838036,65.35104224312857,0.0,0.0,0.0,0.0,1721.3420033204206,0.0,5421
90208,Luncoiu De Jos,564.5712676056338,0.0,0.0,0.0,0.0,0.0,0.0,2105.983098591549,0.0,1775
57449,Cornesti,7.597684515195369,0.0,206.70332850940665,0.0,0.0,0.0,0.0,0.2337192474674385,0.0,1382
65645,Motaieni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2091
155760,Becicherecu Mic,1504.5726468730259,0.0,0.0,0.0,0.0,0.0,82.89545167403664,822.717624763108,0.0,3166
32884,Cetate,18635.775474956823,0.0,4144.116753022453,0.0,0.0,0.0,0.0,0.0,0.0,2895
