,Siruta,Localitate,ValoareAdaugate
0,32768,Budesti,0.0
1,49153,Sahateni,0.0
2,57350,Cojocna,1685412.0
3,90119,Lunca Cernii De Jos,3660.0
4,73736,Poiana Mare,3022374.0
5,147465,Bunesti,87595.0
6,155662,Bara,0.0
7,139287,Valea Vinului,16495008.0
8,114710,Oras Ludus,367775145.0
9,122908,Grumazesti,11472664.0
10,131103,Oras Breaza,109898131.0
11,40991,Fundata,3550.0
12,98337,Plugari,40273.0
13,8229,Vadu Motilor,1443175.0
14,16427,Dobresti,1085569.0
15,32811,Caianu Mic,358640.0
16,73772,Predesti,0.0
17,172082,Pausesti-Maglasi,13843229.0
18,49206,Sapoca,84132.0
19,24631,Poduri,283077.0
20,163903,Gagesti,247761.0
21,106559,Municipiul Sighetu Marmatiei,463714879.0
22,139330,Vama,3977868.0
23,81987,Schela,0.0
24,98373,Oras Podu Iloaiei,8587413.0
25,147526,Cacica,30130086.0
26,16454,Domnesti,1610264.0
27,65609,Oras Fieni,5107699.0
28,122953,Hangu,28533481.0
29,41033,Halchiu,10249014.0
30,155724,Beba Veche,395514.0
31,49233,Sarulesti,0.0
32,16472,Dragoslavele,14431537.0
33,139358,Vetis,688546922.0
34,90208,Luncoiu De Jos,4740234.0
35,57449,Cornesti,296487.0
36,65645,Motaieni,0.0
37,155760,Becicherecu Mic,7630648.0
38,32884,Cetate,65947788.0
39,114809,Municipiul Reghin,957462883.0
40,16506,Draganu,139972.0
41,172153,Perisani,0.0
42,73852,Radovan,1012456.0
43,106620,Sarasau,6414647.0
44,163967,Gherghesti,0.0
45,82047,Slivilesti,0.0
46,147580,Calafindesti,466091.0
47,41088,Harman,132005956.0
48,139394,Viile Satu Mare,563692.0
49,98435,Popesti,2723824.0
50,123013,Icusesti,0.0
51,24711,Racova,968522.0
52,131210,Oras Busteni,4746572.0
53,65681,Oras Gaesti,58681126.0
54,90262,Martinesti,0.0
55,155797,Belint,3429093.0
56,41113,Harseni,5048303.0
57,106648,Vadu Izei,11456195.0
58,49313,Scortoasa,25800.0
59,8354,Valea Lunga,0.0
60,16551,Godeni,3051806.0
61,114854,Oras Sovata,110163133.0
62,65707,Gura Foii,1433929.0
63,73905,Rast,0.0
64,147633,Oras Cajvana,13561025.0
65,131256,Municipiul Campina,1651464607.0
66,32955,Ciceu-Giurgesti,0.0
67,106684,Oras Baia Sprie,126139344.0
68,24766,Racaciuni,2310602.0
69,73923,Robanesti,2215527.0
70,155840,Bethausen,13179.0
71,98505,Popricani,2502418.0
72,131274,Poiana Campina,4231271.0
73,57546,Dabaca,92680.0
74,147660,Ilisesti,610725.0
75,41177,Hoghiz,403451.0
76,65752,Petresti,1369851.0
77,82136,Stanesti,450433.0
78,164062,Garceni,0.0
79,123102,Ion Creanga,1300989.0
80,16613,Harsesti,13047.0
81,90342,Orastioara De Sus,33630.0
82,8425,Vidra,1297054.0
83,114925,Municipiul Tarnaveni,71000606.0
84,57582,Feleacu,7210084.0
85,172279,Pesceana,0.0
86,33015,Chiochis,213063.0
87,106746,Oras Borsa,42180549.0
88,147713,Carlibaba,414513.0
89,24837,Rachitoasa,145158.0
90,155911,Biled,19760433.0
91,131336,Oras Comarnic,13088920.0
92,73996,Sadova,112778.0
93,16659,Hartiesti,0.0
94,114970,Acatari,6652188.0
95,49439,Scutelnici,3286799.0
96,106782,Oras Cavnic,5567694.0
97,41248,Homorod,0.0
98,123175,Margineni,376998.0
99,164133,Grivita,117022.0
100,98603,Prisacani,185663.0
101,57644,Fizesu Gherlii,0.0
102,74028,Salcuta,0.0
103,65841,Municipiul Moreni,38991838.0
104,172340,Pietrari,14742361.0
105,155957,Barna,0.0
106,90431,Pestisu Mic,6280714.0
107,106817,Oras Targu Lapus,451736216.0
108,82243,Stejari,849515.0
109,41284,Jibert,195901.0
110,147786,Cornu Luncii,52506389.0
111,49484,Siriu,824084.0
112,65869,Iedera,19720.0
113,131407,Oras Mizil,192765350.0
114,74073,Scaesti,0.0
115,98649,Probota,3504.0
116,172377,Popesti,60311.0
117,123228,Moldoveni,0.0
118,33122,Chiuza,1778575.0
119,16739,Izvoru,0.0
120,164197,Hoceni,0.0
121,57706,Floresti,107445360.0
122,131443,Oras Plopeni,39232408.0
123,16757,Leordeni,5320207.0
124,123255,Oniceni,237786.0
125,98685,Raducaneni,1508210.0
126,74108,Seaca De Camp,0.0
127,65921,Oras Pucioasa,277753632.0
128,156035,Bogda,0.0
129,41346,Lisa,865737.0
130,115076,Adamus,613261.0
131,131461,Dumbravesti,1734711.0
132,49545,Smeeni,653193.0
133,82314,Stoina,23146.0
134,57742,Frata,1041406.0
135,74135,Seaca De Padure,0.0
136,33177,Cosbuc,229029.0
137,41382,Maierus,20971586.0
138,24999,Rosiori,105130.0
139,90538,Pui,4399049.0
140,172457,Prundeni,1598827.0
141,147884,Crucea,215170.0
142,33202,Dumitra,230863.0
143,98738,Romanesti,0.0
144,164277,Dimitrie Cantemir,0.0
145,74171,Secu,0.0
146,139704,Municipiul Zalau,2297498320.0
147,156106,Boldur,193890.0
148,41417,Mandra,90139772.0
149,115147,Alunis,1222797.0
150,131540,Oras Sinaia,44295589.0
151,98774,Ruginoasa,2132122.0
152,66009,Branesti,4047037.0
153,49625,Stalpu,3430347.0
154,82396,Telesti,0.0
155,139740,Oras Cehu Silvaniei,103974760.0
156,172509,Racovita,721128.0
157,33248,Feldru,4884978.0
158,106979,Oras Viseu De Sus,132391295.0
159,147937,Darmanesti,9219948.0
160,57831,Geaca,0.0
161,123371,Pastraveni,3822975.0
162,49643,Tisau,0.0
163,25068,Sascut,6829010.0
164,115183,Apold,514880.0
165,74224,Silistea Crucii,0.0
166,164339,Iana,0.0
167,156151,Brestovat,0.0
168,107001,Ardusat,54224800.0
169,33275,Galatii Bistritei,1375383.0
170,131577,Oras Slanic,112888.0
171,41471,Moieciu,543752.0
172,82430,Oras Tismana,6317607.0
173,74242,Sopot,0.0
174,98827,Schitu Duca,189800.0
175,16908,Leresti,6100713.0
176,66081,Oras Titu,56272715.0
177,123424,Petricani,6428097.0
178,139811,Oras Jibou,113232984.0
179,148006,Oras Dolhasca,2450765.0
180,115236,Atintis,182156.0
181,90663,Rapoltu Mare,2057174.0
182,107047,Arinis,3413868.0
183,131620,Oras Urlati,280742062.0
184,172581,Roesti,4370.0
185,164393,Ivanesti,224075.0
186,57902,Gilau,64518478.0
187,16944,Lunca Corbului,13227848.0
188,156213,Carpinis,42129765.0
189,33337,Ilva Mare,384996.0
190,25148,Sanduleni,405927.0
191,41541,Ormenis,0.0
192,107083,Asuaju De Sus,47469.0
193,74322,Teasc,20971.0
194,33364,Ilva Mica,18565156.0
195,123479,Piatra Soimului,4050947.0
196,57948,Garbau,526213.0
197,156259,Cenad,404902.0
198,90725,Rachitova,0.0
199,98916,Scanteia,240459.0
200,33382,Josenii Bargaului,3545666.0
201,49769,Topliceni,27602289.0
202,66152,Branistea,0.0
203,41578,Parau,90138.0
204,115307,Bahnea,1465383.0
205,139884,Oras Simleu Silvaniei,83688215.0
206,107118,Baita De Sub Codru,5717456.0
207,74359,Terpezita,1263886.0
208,156277,Cenei,1667569.0
209,8826,Vintu De Jos,11646213.0
210,82555,Turburea,118302.0
211,123521,Pipirig,881763.0
212,148097,Dolhesti,1851872.0
213,25228,Saucesti,938033.0
214,107154,Baiut,342426.0
215,41621,Poiana Marului,133648950.0
216,156311,Cheveresu Mare,2401438.0
217,66198,Baleni,12870207.0
218,58008,Iara,987647.0
219,172698,Rosiile,0.0
220,17049,Malureni,5872949.0
221,33435,Lechinta,8072352.0
222,148131,Dorna-Arini,24454310.0
223,139937,Agrij,0.0
224,74411,Teslui,0.0
225,66223,Barbuletu,0.0
226,90805,Ribita,0.0
227,98998,Scobinti,1222238.0
228,107190,Basesti,0.0
229,82617,Oras Turceni,0.0
230,49849,Tintesti,2409222.0
231,115389,Band,2628221.0
232,164543,Ivesti,124576.0
233,41667,Prejmer,140155294.0
234,156357,Oras Ciacova,270812.0
235,25291,Scorteni,1291528.0
236,139982,Almasu,0.0
237,17101,Merisani,1407357.0
238,123601,Pangarati,27587354.0
239,107234,Bicaz,0.0
240,41701,Racos,428910.0
241,49894,Ulmeni,219213.0
242,148202,Dorna Candrenilor,196154987.0
243,33514,Lesu,557832.0
244,131817,Oras Valenii De Munte,339515772.0
245,99058,Sinesti,0.0
246,164598,Laza,0.0
247,82680,Tantareni,19245.0
248,131835,Gura Vitioarei,286893.0
